,Gene_Pair,Min_Score,TCGA_Samples
36432,interaction_EEF2_CTC1,-2.4107000000000003,['TCGA-DF-A2KU-01']
8986,interaction_XPO1_KIF18A,-2.4093999999999998,['TCGA-06-5416-01']
1533,interaction_RFWD2_EEF2,-2.4092000000000002,['TCGA-DF-A2KU-01']
42014,interaction_CDAN1_AARS2,-2.4089,['TCGA-B5-A3FC-01']
46992,interaction_PCF11_WNK1,-2.4082,['TCGA-DF-A2KU-01']
36508,interaction_EEF2_RHOA,-2.4049,['TCGA-06-5416-01']
6694,interaction_VPS41_SCAP,-2.4043,['TCGA-DF-A2KU-01']
27927,interaction_CLTC_HIRA,-2.4036999999999997,['TCGA-DF-A2KU-01']
13212,interaction_ERCC2_CDAN1,-2.4032,['TCGA-DF-A2KU-01']
18736,interaction_NCAPD3_DNM2,-2.4028,['TCGA-DF-A2KU-01']
27824,interaction_CLTC_SF3B1,-2.4028,['TCGA-06-5416-01']
56108,interaction_POLE_VHL,-2.4027000000000003,['TCGA-XK-AAIW-01']
40226,interaction_SCAP_BRD4,-2.4024,['TCGA-DF-A2KU-01']
59527,interaction_MED1_WNK1,-2.4022,['TCGA-DF-A2KU-01']
18786,interaction_NCAPD3_CNOT3,-2.4002,['TCGA-DF-A2KU-01']
5354,interaction_CTCF_NUP214,-2.399,['TCGA-DF-A2KU-01']
18816,interaction_NCAPD3_ATP1A1,-2.3986,['TCGA-DF-A2KU-01']
60578,interaction_WNK1_WDR7,-2.3979,['TCGA-DF-A2KU-01']
46986,interaction_PCF11_CHD4,-2.3967,['TCGA-DF-A2KU-01']
43848,interaction_DNM2_IPO9,-2.3956,['TCGA-DF-A2KU-01']
18746,interaction_NCAPD3_MTOR,-2.3942,['TCGA-DF-A2KU-01']
52398,interaction_CNOT3_VHL,-2.394,['TCGA-XK-AAIW-01']
52420,interaction_CNOT3_IPO9,-2.393,['TCGA-DF-A2KU-01']
5270,interaction_CTCF_ZNF217,-2.3924000000000003,['TCGA-DF-A2KU-01']
56365,interaction_ATP1A1_IPO9,-2.3914,['TCGA-DF-A2KU-01']
59521,interaction_MED1_CHD4,-2.3907,['TCGA-DF-A2KU-01']
9134,interaction_XPO1_PTPN23,-2.3905,['TCGA-AJ-A3EL-01']
36557,interaction_EEF2_DAXX,-2.3904,['TCGA-DF-A2KU-01']
8062,interaction_POLD1_PCF11,-2.3899,['TCGA-DF-A2KU-01']
36491,interaction_EEF2_GATA3,-2.3890000000000002,['TCGA-DF-A2KU-01']
36406,interaction_EEF2_ANKRD17,-2.3887,['TCGA-DF-A2KU-01']
36502,interaction_EEF2_SREBF1,-2.388,['TCGA-EO-A22U-01']
13299,interaction_ERCC2_POLE,-2.387,['TCGA-DF-A2KU-01']
45762,interaction_MTOR_IPO9,-2.387,['TCGA-DF-A2KU-01']
32966,interaction_KIF18A_RAD21,-2.3867,['TCGA-06-5416-01']
60131,interaction_CHD4_WDR7,-2.3864,['TCGA-DF-A2KU-01']
21265,interaction_IARS2_LRPPRC,-2.3857,['TCGA-B5-A3FC-01']
42015,interaction_CDAN1_NCAPG2,-2.3851,['TCGA-DF-A2KU-01']
59974,interaction_RAD21_WDR7,-2.3849,['TCGA-2W-A8YY-01']
56412,interaction_TRRAP_TRPM7,-2.3840000000000003,['TCGA-DF-A2KU-01']
8157,interaction_POLD1_MED1,-2.3839,['TCGA-DF-A2KU-01']
36451,interaction_EEF2_CUL3,-2.3839,['TCGA-A5-A2K5-01']
47049,interaction_PCF11_LRPPRC,-2.3833,['TCGA-DF-A2KU-01']
21094,interaction_IARS2_MTOR,-2.3832,['TCGA-B5-A3FC-01']
7913,interaction_POLD1_XPO1,-2.3830999999999998,['TCGA-IB-7651-01']
10656,interaction_RBBP6_CDAN1,-2.3823,['TCGA-DF-A2KU-01']
56424,interaction_TRRAP_RTTN,-2.3806000000000003,['TCGA-DF-A2KU-01']
13152,interaction_ERCC2_CLTC,-2.3798,['TCGA-DF-A2KU-01']
8207,interaction_POLD1_WDR7,-2.3796,['TCGA-DF-A2KU-01']
59584,interaction_MED1_LRPPRC,-2.3773,['TCGA-DF-A2KU-01']
36495,interaction_EEF2_NSD1,-2.3769,['TCGA-DF-A2KU-01']
36415,interaction_EEF2_ZEB2,-2.3762,['TCGA-DF-A2KU-01']
18719,interaction_NCAPD3_SCAP,-2.3738,['TCGA-DF-A2KU-01']
45671,interaction_MTOR_SF3B1,-2.3731999999999998,['TCGA-06-5416-01']
62557,interaction_WDR7_LRPPRC,-2.373,['TCGA-DF-A2KU-01']
5325,interaction_CTCF_CNOT1,-2.3728,['TCGA-DF-A2KU-01']
9222,interaction_XPO1_HIRA,-2.3727,['TCGA-06-5416-01']
59987,interaction_RAD21_IPO9,-2.3715,['TCGA-B5-A3FC-01']
21209,interaction_IARS2_WNK1,-2.3709,['TCGA-B5-A3FC-01']
56405,interaction_TRRAP_PTPN23,-2.3697999999999997,['TCGA-2W-A8YY-01']
32930,interaction_KIF18A_TRRAP,-2.3689,['TCGA-DF-A2KU-01']
56105,interaction_POLE_NCAPG2,-2.3689,['TCGA-DF-A2KU-01']
6836,interaction_VPS41_WNK1,-2.3688000000000002,['TCGA-DF-A2KU-01']
40274,interaction_SCAP_SF3B1,-2.3678,['TCGA-B5-A3FC-01']
50221,interaction_BRD4_WNK1,-2.3669000000000002,['TCGA-DF-A2KU-01']
41964,interaction_CDAN1_PTPN23,-2.3667,['TCGA-B5-A3FC-01']
40365,interaction_SCAP_IPO9,-2.3666,['TCGA-DF-A2KU-01']
10743,interaction_RBBP6_POLE,-2.3661000000000003,['TCGA-DF-A2KU-01']
9210,interaction_XPO1_IPO9,-2.3658,['TCGA-06-5416-01']
5468,interaction_CTCF_DDX27,-2.3656,['TCGA-IB-7651-01']
43860,interaction_DNM2_HIRA,-2.3649,['TCGA-DF-A2KU-01']
56274,interaction_ATP1A1_SF3B1,-2.3636999999999997,['TCGA-EO-A22U-01']
9185,interaction_XPO1_NCAPG2,-2.363,['TCGA-A5-A2K5-01']
52432,interaction_CNOT3_HIRA,-2.3623000000000003,['TCGA-DF-A2KU-01']
27890,interaction_CLTC_NCAPG2,-2.3617,['TCGA-DF-A2KU-01']
20584,interaction_TPR_TRRAP,-2.3607,['TCGA-DF-A2KU-01']
56377,interaction_ATP1A1_HIRA,-2.3607,['TCGA-DF-A2KU-01']
19705,interaction_ATR_TRRAP,-2.3594,['TCGA-DF-A2KU-01']
5476,interaction_CTCF_PFAS,-2.3592,['TCGA-DF-A2KU-01']
56406,interaction_TRRAP_UBR4,-2.359,['TCGA-DF-A2KU-01']
10596,interaction_RBBP6_CLTC,-2.3589,['TCGA-DF-A2KU-01']
50213,interaction_BRD4_RAD21,-2.3584,['TCGA-B5-A3FC-01']
6830,interaction_VPS41_CHD4,-2.3573,['TCGA-DF-A2KU-01']
45774,interaction_MTOR_HIRA,-2.3563,['TCGA-DF-A2KU-01']
9135,interaction_XPO1_UBR4,-2.3562000000000003,['TCGA-06-5416-01']
36505,interaction_EEF2_MED23,-2.3558,['TCGA-B5-A3FC-01']
50215,interaction_BRD4_CHD4,-2.3554,['TCGA-DF-A2KU-01']
48180,interaction_PIK3C3_TRRAP,-2.3545000000000003,['TCGA-DF-A2KU-01']
56040,interaction_POLE_PPP2R1A,-2.3529999999999998,['TCGA-06-5416-01']
5400,interaction_CTCF_MBTPS1,-2.3525,['TCGA-DF-A2KU-01']
18105,interaction_PIK3CA_EEF2,-2.3517,['TCGA-DF-A2KU-01']
6576,interaction_VPS41_POLD1,-2.3505000000000003,['TCGA-DF-A2KU-01']
59999,interaction_RAD21_HIRA,-2.3499999999999996,['TCGA-06-5416-01']
41971,interaction_CDAN1_TRPM7,-2.3499,['TCGA-DF-A2KU-01']
36613,interaction_EEF2_ARID1A,-2.3495,['TCGA-DF-A2KU-01']
56455,interaction_TRRAP_AARS2,-2.349,['TCGA-B5-A3FC-01']
8081,interaction_POLD1_BRD4,-2.3486000000000002,['TCGA-DF-A2KU-01']
36445,interaction_EEF2_NF2,-2.3471,['TCGA-DF-A2KU-01']
5537,interaction_CTCF_NUP98,-2.3469,['TCGA-DF-A2KU-01']
41983,interaction_CDAN1_RTTN,-2.3465,['TCGA-DF-A2KU-01']
2926,interaction_ARHGEF7_EEF2,-2.3461,['TCGA-DF-A2KU-01']
1883,interaction_STK11_EEF2,-2.3459000000000003,['TCGA-DF-A2KU-01']
21196,interaction_IARS2_MED1,-2.3457,['TCGA-B5-A3FC-01']
47020,interaction_PCF11_VHL,-2.3451,['TCGA-XK-AAIW-01']
6893,interaction_VPS41_LRPPRC,-2.3438999999999997,['TCGA-DF-A2KU-01']
5310,interaction_CTCF_SETDB1,-2.3436,['TCGA-DF-A2KU-01']
56391,interaction_TRRAP_PPP2R1A,-2.3434999999999997,['TCGA-06-5416-01']
46979,interaction_PCF11_MED1,-2.3434,['TCGA-DF-A2KU-01']
21101,interaction_IARS2_PCF11,-2.3423,['TCGA-B5-A3FC-01']
50278,interaction_BRD4_LRPPRC,-2.3419999999999996,['TCGA-DF-A2KU-01']
13221,interaction_ERCC2_DNM2,-2.341,['TCGA-DF-A2KU-01']
47029,interaction_PCF11_WDR7,-2.3391,['TCGA-DF-A2KU-01']
13271,interaction_ERCC2_CNOT3,-2.3384,['TCGA-DF-A2KU-01']
18861,interaction_NCAPD3_WNK1,-2.3383000000000003,['TCGA-DF-A2KU-01']
9142,interaction_XPO1_DDX27,-2.3381,['TCGA-EO-A3B0-01']
13301,interaction_ERCC2_ATP1A1,-2.3368,['TCGA-DF-A2KU-01']
34030,interaction_KRAS_EEF2,-2.3368,['TCGA-IB-7651-01']
8908,interaction_XPO1_RBBP6,-2.3364000000000003,['TCGA-06-5416-01']
36510,interaction_EEF2_CREBBP,-2.3364000000000003,['TCGA-DF-A2KU-01']
5225,interaction_CTCF_DICER1,-2.3362,['TCGA-DF-A2KU-01']
9141,interaction_XPO1_TRPM7,-2.3362,['TCGA-A5-A2K5-01']
40377,interaction_SCAP_HIRA,-2.3358999999999996,['TCGA-DF-A2KU-01']
3272,interaction_HSPA8_EEF2,-2.3350999999999997,['TCGA-B5-A3FC-01']
32840,interaction_KIF18A_CDAN1,-2.3348,['TCGA-DF-A2KU-01']
5333,interaction_CTCF_CCAR1,-2.3343,['TCGA-DF-A2KU-01']
42355,interaction_NUP214_TRRAP,-2.3341000000000003,['TCGA-DF-A2KU-01']
59961,interaction_RAD21_AARS2,-2.3339,['TCGA-B5-A3FC-01']
56061,interaction_POLE_TRPM7,-2.3337000000000003,['TCGA-DF-A2KU-01']
46952,interaction_PCF11_PPP2R1A,-2.3337,['TCGA-06-5416-01']
58436,interaction_UBR4_RAD21,-2.3335,['TCGA-06-5416-01']
59564,interaction_MED1_WDR7,-2.3331,['TCGA-DF-A2KU-01']
8928,interaction_XPO1_MCM6,-2.3325,['TCGA-EO-A3B0-01']
13231,interaction_ERCC2_MTOR,-2.3324,['TCGA-DF-A2KU-01']
29280,interaction_MYH9_EEF2,-2.3323,['TCGA-EO-A22U-01']
60591,interaction_WNK1_IPO9,-2.3311,['TCGA-DF-A2KU-01']
36397,interaction_EEF2_FLT3,-2.3304,['TCGA-DF-A2KU-01']
56073,interaction_POLE_RTTN,-2.3303000000000003,['TCGA-DF-A2KU-01']
43826,interaction_DNM2_VHL,-2.3298,['TCGA-XK-AAIW-01']
5446,interaction_CTCF_PPP2R1A,-2.3291,['TCGA-IB-7651-01']
5262,interaction_CTCF_POT1,-2.3285,['TCGA-DF-A2KU-01']
21740,interaction_ZNF217_TRRAP,-2.3275,['TCGA-DF-A2KU-01']
5527,interaction_CTCF_BRCA2,-2.3274,['TCGA-DF-A2KU-01']
18855,interaction_NCAPD3_CHD4,-2.3268,['TCGA-DF-A2KU-01']
20494,interaction_TPR_CDAN1,-2.3266,['TCGA-DF-A2KU-01']
27846,interaction_CLTC_TRPM7,-2.3265000000000002,['TCGA-DF-A2KU-01']
21168,interaction_IARS2_SF3B1,-2.3261000000000003,['TCGA-A5-A2K5-01']
58339,interaction_PTPN23_RAD21,-2.3254,['TCGA-2W-A8YY-01']
19615,interaction_ATR_CDAN1,-2.3253,['TCGA-DF-A2KU-01']
41965,interaction_CDAN1_UBR4,-2.3249,['TCGA-DF-A2KU-01']
27858,interaction_CLTC_RTTN,-2.3231,['TCGA-DF-A2KU-01']
27825,interaction_CLTC_PPP2R1A,-2.3228999999999997,['TCGA-06-5416-01']
43823,interaction_DNM2_NCAPG2,-2.3228999999999997,['TCGA-DF-A2KU-01']
41972,interaction_CDAN1_DDX27,-2.3226,['TCGA-B5-A3FC-01']
36612,interaction_EEF2_ADAR,-2.3215000000000003,['TCGA-DF-A2KU-01']
6728,interaction_VPS41_PCF11,-2.3213999999999997,['TCGA-XK-AAIW-01']
5345,interaction_CTCF_USP7,-2.3209,['TCGA-IB-7651-01']
5517,interaction_CTCF_CAD,-2.3206,['TCGA-DF-A2KU-01']
41889,interaction_CDAN1_PIK3C3,-2.3204000000000002,['TCGA-DF-A2KU-01']
52395,interaction_CNOT3_NCAPG2,-2.3203,['TCGA-DF-A2KU-01']
10665,interaction_RBBP6_DNM2,-2.3201,['TCGA-DF-A2KU-01']
7944,interaction_POLD1_NCAPD3,-2.3200000000000003,['TCGA-DF-A2KU-01']
43757,interaction_DNM2_SF3B1,-2.3196,['TCGA-B5-A3FC-01']
60144,interaction_CHD4_IPO9,-2.3196,['TCGA-DF-A2KU-01']
18753,interaction_NCAPD3_PCF11,-2.3189,['TCGA-06-5416-01']
56340,interaction_ATP1A1_NCAPG2,-2.3186999999999998,['TCGA-DF-A2KU-01']
32927,interaction_KIF18A_POLE,-2.3186,['TCGA-DF-A2KU-01']
10715,interaction_RBBP6_CNOT3,-2.3175,['TCGA-DF-A2KU-01']
5410,interaction_CTCF_POLRMT,-2.3163,['TCGA-B5-A3FC-01']
10745,interaction_RBBP6_ATP1A1,-2.3159,['TCGA-DF-A2KU-01']
42018,interaction_CDAN1_VHL,-2.3159,['TCGA-XK-AAIW-01']
21203,interaction_IARS2_CHD4,-2.3145,['TCGA-A5-A2K5-01']
45737,interaction_MTOR_NCAPG2,-2.3143000000000002,['TCGA-DF-A2KU-01']
10782,interaction_RBBP6_RAD21,-2.3137,['TCGA-06-5416-01']
18918,interaction_NCAPD3_LRPPRC,-2.3133999999999997,['TCGA-DF-A2KU-01']
8220,interaction_POLD1_IPO9,-2.3128,['TCGA-DF-A2KU-01']
9184,interaction_XPO1_AARS2,-2.3125,['TCGA-IB-7651-01']
13204,interaction_ERCC2_SCAP,-2.312,['TCGA-DF-A2KU-01']
10675,interaction_RBBP6_MTOR,-2.3115,['TCGA-DF-A2KU-01']
9055,interaction_XPO1_TELO2,-2.3114999999999997,['TCGA-A5-A2K5-01']
27691,interaction_CLTC_KIF18A,-2.3114,['TCGA-DF-A2KU-01']
36404,interaction_EEF2_DOT1L,-2.311,['TCGA-DF-A2KU-01']
20581,interaction_TPR_POLE,-2.3104,['TCGA-DF-A2KU-01']
6795,interaction_VPS41_SF3B1,-2.31,['TCGA-E2-A56Z-01']
36386,interaction_EEF2_DNAJC13,-2.3096,['TCGA-DF-A2KU-01']
36446,interaction_EEF2_PCM1,-2.3094,['TCGA-DF-A2KU-01']
5308,interaction_CTCF_GCN1L1,-2.3091,['TCGA-DF-A2KU-01']
19702,interaction_ATR_POLE,-2.3091,['TCGA-DF-A2KU-01']
7952,interaction_POLD1_IARS2,-2.309,['TCGA-2W-A8YY-01']
56055,interaction_POLE_UBR4,-2.3087,['TCGA-DF-A2KU-01']
40339,interaction_SCAP_AARS2,-2.3084,['TCGA-B5-A3FC-01']
46903,interaction_PCF11_BRD4,-2.3081,['TCGA-DF-A2KU-01']
36037,interaction_CNOT1_TRRAP,-2.3079,['TCGA-DF-A2KU-01']
56733,interaction_SF3B1_PPP2R1A,-2.3076999999999996,['TCGA-06-5416-01']
36523,interaction_EEF2_TBL1XR1,-2.307,['TCGA-DF-A2KU-01']
62921,interaction_IPO9_LRPPRC,-2.3061999999999996,['TCGA-DF-A2KU-01']
5381,interaction_CTCF_TELO2,-2.3048,['TCGA-B5-A3FC-01']
5347,interaction_CTCF_ZNF407,-2.3044000000000002,['TCGA-DF-A2KU-01']
48177,interaction_PIK3C3_POLE,-2.3042000000000002,['TCGA-DF-A2KU-01']
6823,interaction_VPS41_MED1,-2.3040000000000003,['TCGA-DF-A2KU-01']
52329,interaction_CNOT3_SF3B1,-2.3038,['TCGA-EO-A3B0-01']
9074,interaction_XPO1_MBTPS1,-2.3032,['TCGA-A5-A2K5-01']
20434,interaction_TPR_CLTC,-2.3032,['TCGA-DF-A2KU-01']
45740,interaction_MTOR_VHL,-2.303,['TCGA-XK-AAIW-01']
36590,interaction_EEF2_CDK12,-2.3027,['TCGA-06-5416-01']
50208,interaction_BRD4_MED1,-2.3021000000000003,['TCGA-DF-A2KU-01']
19555,interaction_ATR_CLTC,-2.3019,['TCGA-DF-A2KU-01']
27840,interaction_CLTC_UBR4,-2.3015,['TCGA-DF-A2KU-01']
56413,interaction_TRRAP_DDX27,-2.3005,['TCGA-2W-A8YY-01']
60603,interaction_WNK1_HIRA,-2.3004,['TCGA-DF-A2KU-01']
41858,interaction_CDAN1_NUP214,-2.3,['TCGA-DF-A2KU-01']
6873,interaction_VPS41_WDR7,-2.2997,['TCGA-DF-A2KU-01']
36535,interaction_EEF2_MKL1,-2.2989,['TCGA-DF-A2KU-01']
36616,interaction_EEF2_BCL9L,-2.2986,['TCGA-DF-A2KU-01']
60569,interaction_WNK1_VHL,-2.2983000000000002,['TCGA-XK-AAIW-01']
50258,interaction_BRD4_WDR7,-2.2978,['TCGA-DF-A2KU-01']
27764,interaction_CLTC_PIK3C3,-2.297,['TCGA-DF-A2KU-01']
21245,interaction_IARS2_WDR7,-2.295,['TCGA-A5-A2K5-01']
56421,interaction_TRRAP_PFAS,-2.2943000000000002,['TCGA-DF-A2KU-01']
9059,interaction_XPO1_PIK3C3,-2.2942,['TCGA-EO-A3B0-01']
40340,interaction_SCAP_NCAPG2,-2.2939,['TCGA-DF-A2KU-01']
21650,interaction_ZNF217_CDAN1,-2.2934,['TCGA-DF-A2KU-01']
5272,interaction_CTCF_OGDH,-2.2933000000000003,['TCGA-B5-A3FC-01']
45672,interaction_MTOR_PPP2R1A,-2.2933,['TCGA-06-5416-01']
18820,interaction_NCAPD3_SF3B1,-2.2929,['TCGA-06-5416-01']
8940,interaction_XPO1_TPR,-2.2927999999999997,['TCGA-EO-A3B0-01']
56830,interaction_SF3B1_LRPPRC,-2.2921,['TCGA-06-5416-01']
56054,interaction_POLE_PTPN23,-2.2914,['TCGA-2W-A8YY-01']
10648,interaction_RBBP6_SCAP,-2.2911,['TCGA-DF-A2KU-01']
32866,interaction_KIF18A_PCF11,-2.2911,['TCGA-06-5416-01']
36558,interaction_EEF2_FANCD2,-2.2911,['TCGA-DF-A2KU-01']
60156,interaction_CHD4_HIRA,-2.2889,['TCGA-DF-A2KU-01']
36462,interaction_EEF2_ACACA,-2.2877,['TCGA-DF-A2KU-01']
43779,interaction_DNM2_TRPM7,-2.2877,['TCGA-DF-A2KU-01']
59962,interaction_RAD21_NCAPG2,-2.2877,['TCGA-06-5416-01']
50654,interaction_MBTPS1_TRRAP,-2.2876000000000003,['TCGA-DF-A2KU-01']
21338,interaction_SOX9_EEF2,-2.2851,['TCGA-DF-A2KU-01']
52351,interaction_CNOT3_TRPM7,-2.2851,['TCGA-DF-A2KU-01']
43791,interaction_DNM2_RTTN,-2.2843,['TCGA-DF-A2KU-01']
52344,interaction_CNOT3_PTPN23,-2.284,['TCGA-2W-A8YY-01']
5544,interaction_CTCF_SMC6,-2.2839,['TCGA-DF-A2KU-01']
9153,interaction_XPO1_RTTN,-2.2839,['TCGA-EO-A3B0-01']
42352,interaction_NUP214_POLE,-2.2838000000000003,['TCGA-DF-A2KU-01']
56296,interaction_ATP1A1_TRPM7,-2.2835,['TCGA-DF-A2KU-01']
41914,interaction_CDAN1_POLRMT,-2.2822,['TCGA-B5-A3FC-01']
8232,interaction_POLD1_HIRA,-2.2821,['TCGA-DF-A2KU-01']
56482,interaction_TRRAP_NUP98,-2.282,['TCGA-DF-A2KU-01']
13338,interaction_ERCC2_RAD21,-2.2818,['TCGA-2W-A8YY-01']
52363,interaction_CNOT3_RTTN,-2.2817,['TCGA-DF-A2KU-01']
5365,interaction_CTCF_STIL,-2.2812,['TCGA-DF-A2KU-01']
36563,interaction_EEF2_FBXO11,-2.2808,['TCGA-DF-A2KU-01']
56308,interaction_ATP1A1_RTTN,-2.2801,['TCGA-DF-A2KU-01']
45693,interaction_MTOR_TRPM7,-2.2791,['TCGA-DF-A2KU-01']
36416,interaction_EEF2_CYLD,-2.2788,['TCGA-DF-A2KU-01']
5403,interaction_CTCF_EP300,-2.2787,['TCGA-DF-A2KU-01']
32437,interaction_SETDB1_TRRAP,-2.2787,['TCGA-DF-A2KU-01']
21258,interaction_IARS2_IPO9,-2.2784,['TCGA-B5-A3FC-01']
21737,interaction_ZNF217_POLE,-2.2772,['TCGA-DF-A2KU-01']
27733,interaction_CLTC_NUP214,-2.2766,['TCGA-DF-A2KU-01']
40289,interaction_SCAP_PTPN23,-2.2766,['TCGA-2W-A8YY-01']
13346,interaction_ERCC2_WNK1,-2.2765,['TCGA-DF-A2KU-01']
45705,interaction_MTOR_RTTN,-2.2757,['TCGA-DF-A2KU-01']
63052,interaction_LRPPRC_HIRA,-2.2755,['TCGA-DF-A2KU-01']
21912,interaction_EFR3A_EEF2,-2.2741,['TCGA-EO-A22U-01']
35947,interaction_CNOT1_CDAN1,-2.2738,['TCGA-DF-A2KU-01']
18848,interaction_NCAPD3_MED1,-2.2735000000000003,['TCGA-DF-A2KU-01']
32849,interaction_KIF18A_DNM2,-2.2726,['TCGA-DF-A2KU-01']
47042,interaction_PCF11_IPO9,-2.2723,['TCGA-DF-A2KU-01']
36452,interaction_EEF2_WRN,-2.2722,['TCGA-DF-A2KU-01']
8937,interaction_XPO1_ATR,-2.2717,['TCGA-A5-A2K5-01']
7794,interaction_DICER1_TRRAP,-2.2713,['TCGA-DF-A2KU-01']
56767,interaction_SF3B1_CHD4,-2.2712,['TCGA-06-5416-01']
36556,interaction_EEF2_HLA-A,-2.2711,['TCGA-DF-A2KU-01']
41885,interaction_CDAN1_TELO2,-2.2707,['TCGA-B5-A3FC-01']
8946,interaction_XPO1_OGDH,-2.2702,['TCGA-A5-A2K5-01']
21590,interaction_ZNF217_CLTC,-2.27,['TCGA-DF-A2KU-01']
32899,interaction_KIF18A_CNOT3,-2.27,['TCGA-DF-A2KU-01']
58996,interaction_TRPM7_RAD21,-2.2697000000000003,['TCGA-B5-A3FC-01']
37864,interaction_CCAR1_TRRAP,-2.2694,['TCGA-DF-A2KU-01']
18898,interaction_NCAPD3_WDR7,-2.2692,['TCGA-DF-A2KU-01']
6747,interaction_VPS41_BRD4,-2.2687,['TCGA-DF-A2KU-01']
32929,interaction_KIF18A_ATP1A1,-2.2684,['TCGA-DF-A2KU-01']
56773,interaction_SF3B1_WNK1,-2.2664999999999997,['TCGA-06-5416-01']
59577,interaction_MED1_IPO9,-2.2663,['TCGA-DF-A2KU-01']
21120,interaction_IARS2_BRD4,-2.2653,['TCGA-B5-A3FC-01']
5384,interaction_CTCF_SMARCA4,-2.2651,['TCGA-DF-A2KU-01']
32933,interaction_KIF18A_SF3B1,-2.2651,['TCGA-06-5416-01']
13340,interaction_ERCC2_CHD4,-2.2649999999999997,['TCGA-DF-A2KU-01']
20503,interaction_TPR_DNM2,-2.2644,['TCGA-DF-A2KU-01']
32859,interaction_KIF18A_MTOR,-2.2640000000000002,['TCGA-DF-A2KU-01']
5240,interaction_CTCF_UBR5,-2.2638,['TCGA-DF-A2KU-01']
60122,interaction_CHD4_VHL,-2.2637,['TCGA-XK-AAIW-01']
19410,interaction_POT1_TRRAP,-2.2636000000000003,['TCGA-DF-A2KU-01']
19624,interaction_ATR_DNM2,-2.2631,['TCGA-DF-A2KU-01']
43773,interaction_DNM2_UBR4,-2.2627,['TCGA-DF-A2KU-01']
56472,interaction_TRRAP_BRCA2,-2.2625,['TCGA-DF-A2KU-01']
62550,interaction_WDR7_IPO9,-2.262,['TCGA-DF-A2KU-01']
20553,interaction_TPR_CNOT3,-2.2618,['TCGA-DF-A2KU-01']
9028,interaction_XPO1_NUP214,-2.2611,['TCGA-A5-A2K5-01']
19674,interaction_ATR_CNOT3,-2.2605,['TCGA-DF-A2KU-01']
19884,interaction_PBRM1_EEF2,-2.2602,['TCGA-DF-A2KU-01']
20583,interaction_TPR_ATP1A1,-2.2602,['TCGA-DF-A2KU-01']
41980,interaction_CDAN1_PFAS,-2.2602,['TCGA-DF-A2KU-01']
43822,interaction_DNM2_AARS2,-2.2602,['TCGA-B5-A3FC-01']
52345,interaction_CNOT3_UBR4,-2.2601,['TCGA-DF-A2KU-01']
22223,interaction_OGDH_CDAN1,-2.2592,['TCGA-B5-A3FC-01']
19704,interaction_ATR_ATP1A1,-2.2589,['TCGA-DF-A2KU-01']
40296,interaction_SCAP_TRPM7,-2.2587,['TCGA-DF-A2KU-01']
36541,interaction_EEF2_BRAF,-2.2585,['TCGA-06-5416-01']
56290,interaction_ATP1A1_UBR4,-2.2585,['TCGA-DF-A2KU-01']
60566,interaction_WNK1_NCAPG2,-2.2584,['TCGA-DF-A2KU-01']
7926,interaction_POLD1_ERCC2,-2.2582,['TCGA-DF-A2KU-01']
43697,interaction_DNM2_PIK3C3,-2.2582,['TCGA-DF-A2KU-01']
5329,interaction_CTCF_NIPBL,-2.258,['TCGA-DF-A2KU-01']
36034,interaction_CNOT1_POLE,-2.2576,['TCGA-DF-A2KU-01']
59086,interaction_DDX27_RAD21,-2.2561,['TCGA-2W-A8YY-01']
20513,interaction_TPR_MTOR,-2.2558000000000002,['TCGA-DF-A2KU-01']
5529,interaction_CTCF_POLG,-2.2557,['TCGA-B5-A3FC-01']
56462,interaction_TRRAP_CAD,-2.2557,['TCGA-DF-A2KU-01']
10790,interaction_RBBP6_WNK1,-2.2556000000000003,['TCGA-DF-A2KU-01']
48149,interaction_PIK3C3_CNOT3,-2.2556000000000003,['TCGA-DF-A2KU-01']
40308,interaction_SCAP_RTTN,-2.2553,['TCGA-DF-A2KU-01']
19634,interaction_ATR_MTOR,-2.2545,['TCGA-DF-A2KU-01']
26636,interaction_NBN_EEF2,-2.2545,['TCGA-DF-A2KU-01']
36464,interaction_EEF2_SCAF8,-2.2544,['TCGA-DF-A2KU-01']
47054,interaction_PCF11_HIRA,-2.2544,['TCGA-06-5416-01']
56760,interaction_SF3B1_MED1,-2.2542999999999997,['TCGA-06-5416-01']
45687,interaction_MTOR_UBR4,-2.2541,['TCGA-DF-A2KU-01']
59930,interaction_RAD21_RTTN,-2.2541,['TCGA-B5-A3FC-01']
48179,interaction_PIK3C3_ATP1A1,-2.254,['TCGA-DF-A2KU-01']
6864,interaction_VPS41_VHL,-2.2539,['TCGA-XK-AAIW-01']
41904,interaction_CDAN1_MBTPS1,-2.2535,['TCGA-DF-A2KU-01']
5531,interaction_CTCF_ZMYND8,-2.2519,['TCGA-DF-A2KU-01']
13403,interaction_ERCC2_LRPPRC,-2.2516,['TCGA-DF-A2KU-01']
27704,interaction_CLTC_CNOT1,-2.2504,['TCGA-DF-A2KU-01']
7012,interaction_USP6_EEF2,-2.2501,['TCGA-06-5416-01']
45611,interaction_MTOR_PIK3C3,-2.2496,['TCGA-DF-A2KU-01']
25001,interaction_LRP1B_EEF2,-2.2488,['TCGA-DF-A2KU-01']
18643,interaction_NCAPD3_IARS2,-2.2487000000000004,['TCGA-A5-A2K5-01']
5370,interaction_CTCF_KDM2A,-2.2487,['TCGA-DF-A2KU-01']
